Waldort,WE-Typ,U,I_A,W_S,SW,STOE,VTYP,UELH,UENH,VB
06351,NG,0,0,0,0,0,0,0,0,0
064A1,WO,0,0,0,0,0,0,0,0,0
064A2,WO,0,0,0,0,0,0,0,0,0
064A3,WO,0,0,0,0,0,0,0,0,0
064A4,WO,0,0,0,0,0,0,0,0,0
064B1,WO,0,0,0,0,0,0,0,0,0
064B2,WO,0,0,0,0,0,0,0,0,0
064B3,WO,0,0,0,0,0,0,0,0,0
064C1,WO,0,A,O,S,0,0,0,0,0
064C2,WO,0,A,O,S,0,0,0,0,0
064C3,WO,0,A,O,S,0,0,0,0,0
064D1,WO,0,0,0,0,0,0,0,0,0
064D2,WO,0,0,0,0,0,0,0,0,0
064D3,WO,0,0,0,0,0,0,0,0,0
064D4,WO,0,0,0,0,0,0,0,0,0
064D5,WO,0,0,0,0,0,0,0,0,0
064E1,WO,0,0,0,0,0,0,0,0,0
064E2,WO,0,0,0,0,0,0,0,0,0
064E3,WO,0,0,0,0,0,0,0,0,0
064F1,WO,0,0,0,0,0,0,0,0,0
064F2,WO,0,0,0,0,0,0,0,0,0
064G1,WO,0,0,0,0,0,0,0,0,0
064G2,WO,0,0,0,0,0,0,0,0,0
06431,NG,0,0,0,0,0,0,0,0,0
065A1,WO,0,0,0,0,0,0,0,0,0
065A2,WO,0,0,0,0,0,0,0,0,0
065A3,WO,0,0,0,0,0,0,0,0,0
065A4,WO,0,0,0,0,0,0,0,0,0
065A5,WO,0,0,0,0,0,0,0,0,0
065B1,WO,0,0,0,0,0,0,0,0,0
065B2,WO,0,0,0,0,0,0,0,0,0
065B3,WO,0,0,0,0,0,0,0,0,0
065B4,WO,0,0,0,0,0,0,0,0,0
065C1,WO,0,A,O,S,0,0,0,0,0
065C2,WO,0,A,O,S,0,0,0,0,0
065D1,WO,0,0,0,0,72,0,0,0,0
065D2,WO,0,0,0,0,0,0,0,0,0
065E0,WO,0,0,0,0,0,0,0,0,0
065F1,WO,0,0,0,0,0,0,0,0,0
065F2,WO,0,0,0,0,0,0,0,0,0
065F3,WO,0,0,0,0,0,0,0,0,0
065S1,WO,0,0,0,0,0,0,0,0,0
065S2,WO,0,0,0,0,0,0,0,0,0
06531,NG,0,0,0,0,0,0,0,0,0
066A0,WO,0,0,0,0,0,0,0,0,0
06631,NG,0,0,0,0,0,0,0,0,0
06691,NG,0,0,0,0,0,0,0,0,0
067A1,WO,0,0,0,0,0,0,0,0,0
067A2,WO,0,0,0,0,0,0,0,0,0
067B0,WO,0,A,O,S,0,0,0,0,0
067C0,WO,0,0,0,0,0,0,0,0,0
067S0,WO,0,0,0,0,0,0,0,0,0
06731,NG,0,0,0,0,0,0,0,0,0
068A1,WO,0,0,0,0,0,0,0,0,0
068A2,WO,0,0,0,0,0,0,0,0,0
068A3,WO,0,0,0,0,0,0,0,0,0
068B0,WO,140,0,0,0,0,0,0,0,0
068C1,WO,0,0,0,0,0,0,0,0,0
068C2,WO,0,0,0,0,0,0,0,0,0
068C3,WO,0,0,0,0,0,0,0,0,0
068D1,WO,0,0,0,0,0,0,0,0,0
068D2,WO,0,0,0,0,0,0,0,0,0
068D3,WO,0,0,0,0,0,0,0,0,0
068E1,WO,0,0,0,0,0,0,0,0,0
068E2,WO,0,0,0,0,0,0,0,0,0
068F1,WO,0,0,0,0,0,0,0,0,0
068F2,WO,0,0,0,0,0,0,0,0,0
068F3,WO,0,0,0,0,0,0,0,0,0
068F4,WO,0,0,0,0,0,0,0,0,0
068F5,WO,0,0,0,0,0,0,0,0,0
068G0,WO,0,0,0,0,0,0,0,0,0
068J0,WO,0,0,0,0,0,0,0,0,0
06831,NG,0,0,0,0,0,0,0,0,0
06841,NG,0,0,0,0,0,0,0,0,0
06851,NG,0,0,0,0,0,0,0,0,0
06852,NG,0,0,0,0,0,0,0,0,0
06881,NG,0,0,0,0,0,0,0,0,0
06891,NG,0,0,0,0,0,0,0,0,0
069A0,WO,0,0,0,0,0,0,0,0,0
069B0,WO,0,0,0,0,0,0,0,0,0
069C1,WO,0,0,0,0,0,0,0,0,0
069C2,WO,0,0,0,0,0,0,0,0,0
069C3,WO,0,0,0,0,0,0,0,0,0
069C4,WO,0,0,0,0,0,0,0,0,0
069D1,WO,0,0,0,0,0,0,0,0,0
069D2,WO,0,0,0,0,0,0,0,0,0
069E0,WO,0,0,0,0,0,0,0,0,0
069F1,WO,0,0,0,0,0,0,0,0,0
069F2,WO,0,0,0,0,0,0,0,0,0
069F3,WO,0,0,0,0,0,0,0,0,0
069G0,WO,0,0,0,0,0,0,0,0,0
069J0,WO,0,0,0,0,0,0,0,0,0
06931,NG,0,0,0,0,0,0,0,0,0
06932,NG,0,0,0,0,0,0,0,0,0
06951,NG,0,0,0,0,0,0,0,0,0
06952,NG,0,0,0,0,0,0,0,0,0
070A1,WO,0,0,0,0,0,0,0,0,0
070A2,WO,0,0,0,0,0,0,0,0,0
070B1,WO,0,0,0,0,0,0,0,0,0
070B2,WO,0,0,0,0,0,0,0,0,0
070C1,WO,120,0,0,0,0,0,0,0,0
070C2,WO,0,0,0,0,0,0,0,0,0
070D1,WO,0,0,0,0,0,0,0,0,0
070D2,WO,0,0,0,0,0,0,0,0,0
070E1,WO,0,0,0,0,0,0,0,0,0
070E2,WO,0,0,0,0,0,0,0,0,0
070F1,WO,0,0,0,0,0,0,0,0,0
070F2,WO,0,0,0,0,0,0,0,0,0
070G1,WO,0,0,0,0,0,0,0,0,0
070G2,WO,0,0,0,0,0,0,0,0,0
070G3,WO,0,0,0,0,0,0,0,0,0
070H1,WO,0,0,0,0,0,0,0,0,0
070H2,WO,0,0,0,0,0,0,0,0,0
070I0,WO,0,0,0,0,0,0,0,0,0
070J1,WO,0,0,0,0,0,0,0,0,0
070J2,WO,0,0,0,0,0,0,0,0,0
070J3,WO,0,0,0,0,0,0,0,0,0
07031,NG,0,0,0,0,0,0,0,0,0
07041,NG,0,0,0,0,0,0,0,0,0
07081,NG,0,0,0,0,0,0,0,0,0
071A1,WO,0,0,0,0,0,0,0,0,0
071A2,WO,0,0,0,0,0,0,0,0,0
071B1,WO,0,0,0,0,0,0,0,0,0
071B2,WO,0,0,0,0,0,0,0,0,0
071C1,WO,0,0,0,0,0,0,0,0,0
071C2,WO,0,0,0,0,0,0,0,0,0
071C3,WO,0,0,0,0,0,0,0,0,0
071D0,WO,0,0,0,0,0,0,0,0,0
071E0,WO,0,0,0,0,0,0,0,0,0
07131,NG,0,0,0,0,0,0,0,0,0
07181,NG,0,0,0,0,0,0,0,0,0
072A1,WO,0,0,0,0,0,0,0,0,0
072A2,WO,0,0,0,0,0,0,0,0,0
072A3,WO,0,0,0,0,0,0,0,0,0
072A4,WO,0,0,0,0,0,0,0,0,0
072A5,WO,0,0,0,0,0,0,0,0,0
072A6,WO,0,0,0,0,0,0,0,0,0
072B1,WO,0,0,0,0,0,0,0,0,0
072B2,WO,0,0,0,0,0,0,0,0,0
072C1,WO,0,0,0,0,0,0,0,0,0
072C2,WO,0,0,0,0,0,0,0,0,0
072C3,WO,0,0,0,0,0,0,0,0,0
